# Total Phase Data Center(tm) v5.00
# (c) 2005-2010 Total Phase, Inc.
# www.totalphase.com
#
# 
#
# Level,Index,m:s.ms.us,Dur,Len,Err,Record,Data
0,0,0:00.000.000,,,,Capture started,[12/13/10 22:49:21]
0,1,0:00.000.102,314.470.400 ms,0 B,TM,Transaction,
1,2,0:00.000.102,314.470.400 ms,0 B,TM,   MOSI,
1,3,0:00.000.102,314.470.400 ms,0 B,TM,   MISO,
0,4,0:03.034.057,257.300 us,5 B,,Transaction,01FF 4241 005A 00FF 00FF
1,5,0:03.034.057,257.300 us,5 B,,   MOSI,01 42 00 00 00
1,6,0:03.034.057,257.300 us,5 B,,   MISO,FF 41 5A FF FF
0,7,0:03.049.446,275.700 us,5 B,,Transaction,01FF 4341 005A 01FF 00FF
1,8,0:03.049.446,275.700 us,5 B,,   MOSI,01 43 00 01 00
1,9,0:03.049.446,275.700 us,5 B,,   MISO,FF 41 5A FF FF
0,10,0:03.064.438,490.300 us,9 B,,Transaction,01FF 45F3 005A 0003 0002 0000 0002 0001 0000
1,11,0:03.064.438,490.300 us,9 B,,   MOSI,01 45 00 00 00 00 00 00 00
1,12,0:03.064.438,490.300 us,9 B,,   MISO,FF F3 5A 03 02 00 02 01 00
0,13,0:03.097.604,489.900 us,9 B,,Transaction,01FF 46F3 005A 0000 0000 0001 0002 0000 000F
1,14,0:03.097.604,489.900 us,9 B,,   MOSI,01 46 00 00 00 00 00 00 00
1,15,0:03.097.604,489.900 us,9 B,,   MISO,FF F3 5A 00 00 01 02 00 0F
0,16,0:03.114.486,489.400 us,9 B,,Transaction,01FF 46F3 005A 0100 0000 0001 0001 0001 000F
1,17,0:03.114.486,489.400 us,9 B,,   MOSI,01 46 00 01 00 00 00 00 00
1,18,0:03.114.486,489.400 us,9 B,,   MISO,FF F3 5A 00 00 01 01 01 0F
0,19,0:03.130.995,490.900 us,9 B,,Transaction,01FF 47F3 005A 0000 0000 0002 0000 0001 0000
1,20,0:03.130.995,490.900 us,9 B,,   MOSI,01 47 00 00 00 00 00 00 00
1,21,0:03.130.995,490.900 us,9 B,,   MISO,FF F3 5A 00 00 02 00 01 00
0,22,0:03.147.887,489.900 us,9 B,,Transaction,01FF 4CF3 005A 0000 0000 0000 0004 0000 0000
1,23,0:03.147.887,489.900 us,9 B,,   MOSI,01 4C 00 00 00 00 00 00 00
1,24,0:03.147.887,489.900 us,9 B,,   MISO,FF F3 5A 00 00 00 04 00 00
0,25,0:03.166.373,491.000 us,9 B,,Transaction,01FF 4CF3 005A 0100 0000 0000 0007 0000 0000
1,26,0:03.166.373,491.000 us,9 B,,   MOSI,01 4C 00 01 00 00 00 00 00
1,27,0:03.166.373,491.000 us,9 B,,   MISO,FF F3 5A 00 00 00 07 00 00
0,28,0:03.181.559,490.900 us,9 B,,Transaction,01FF 44F3 005A 0100 0300 0000 0000 0000 0000
1,29,0:03.181.559,490.900 us,9 B,,   MOSI,01 44 00 01 03 00 00 00 00
1,30,0:03.181.559,490.900 us,9 B,,   MISO,FF F3 5A 00 00 00 00 00 00
0,31,0:03.197.471,490.400 us,9 B,,Transaction,01FF 4DF3 005A 00FF 01FF FFFF FFFF FFFF FFFF
1,32,0:03.197.471,490.400 us,9 B,,   MOSI,01 4D 00 00 01 FF FF FF FF
1,33,0:03.197.471,490.400 us,9 B,,   MISO,FF F3 5A FF FF FF FF FF FF
0,34,0:03.214.610,490.300 us,9 B,,Transaction,01FF 41F3 005A 00FF 00FF 0003 0000 0000 005A
1,35,0:03.214.610,490.300 us,9 B,,   MOSI,01 41 00 00 00 00 00 00 00
1,36,0:03.214.610,490.300 us,9 B,,   MISO,FF F3 5A FF FF 03 00 00 5A
0,37,0:03.231.096,490.900 us,9 B,,Transaction,01FF 4FF3 005A FF00 FF00 0300 0000 0000 005A
1,38,0:03.231.096,490.900 us,9 B,,   MOSI,01 4F 00 FF FF 03 00 00 00
1,39,0:03.231.096,490.900 us,9 B,,   MISO,FF F3 5A 00 00 00 00 00 5A
0,40,0:03.247.937,489.400 us,9 B,,Transaction,01FF 40F3 005A 0000 0200 0002 0000 0000 005A
1,41,0:03.247.937,489.400 us,9 B,,   MOSI,01 40 00 00 02 00 00 00 00
1,42,0:03.247.937,489.400 us,9 B,,   MISO,FF F3 5A 00 00 02 00 00 5A
0,43,0:03.264.504,489.100 us,9 B,,Transaction,01FF 40F3 005A 0100 0200 0002 0000 0000 005A
1,44,0:03.264.504,489.100 us,9 B,,   MOSI,01 40 00 01 02 00 00 00 00
1,45,0:03.264.504,489.100 us,9 B,,   MISO,FF F3 5A 00 00 02 00 00 5A
0,46,0:03.283.149,489.700 us,9 B,,Transaction,01FF 40F3 005A 0200 0200 0002 0000 0000 005A
1,47,0:03.283.149,489.700 us,9 B,,   MOSI,01 40 00 02 02 00 00 00 00
1,48,0:03.283.149,489.700 us,9 B,,   MISO,FF F3 5A 00 00 02 00 00 5A
0,49,0:03.298.630,490.900 us,9 B,,Transaction,01FF 40F3 005A 0300 0200 0002 0000 0000 005A
1,50,0:03.298.630,490.900 us,9 B,,   MOSI,01 40 00 03 02 00 00 00 00
1,51,0:03.298.630,490.900 us,9 B,,   MISO,FF F3 5A 00 00 02 00 00 5A
0,52,0:03.314.803,489.300 us,9 B,,Transaction,01FF 40F3 005A 0400 0200 0002 0000 0000 005A
1,53,0:03.314.803,489.300 us,9 B,,   MOSI,01 40 00 04 02 00 00 00 00
1,54,0:03.314.803,489.300 us,9 B,,   MISO,FF F3 5A 00 00 02 00 00 5A
0,55,0:03.330.964,489.200 us,9 B,,Transaction,01FF 40F3 005A 0500 0200 0002 0000 0000 005A
1,56,0:03.330.964,489.200 us,9 B,,   MOSI,01 40 00 05 02 00 00 00 00
1,57,0:03.330.964,489.200 us,9 B,,   MISO,FF F3 5A 00 00 02 00 00 5A
0,58,0:03.348.117,490.000 us,9 B,,Transaction,01FF 40F3 005A 0600 0200 0002 0000 0000 005A
1,59,0:03.348.117,490.000 us,9 B,,   MOSI,01 40 00 06 02 00 00 00 00
1,60,0:03.348.117,490.000 us,9 B,,   MISO,FF F3 5A 00 00 02 00 00 5A
0,61,0:03.364.544,490.400 us,9 B,,Transaction,01FF 40F3 005A 0700 0200 0002 0000 0000 005A
1,62,0:03.364.544,490.400 us,9 B,,   MOSI,01 40 00 07 02 00 00 00 00
1,63,0:03.364.544,490.400 us,9 B,,   MISO,FF F3 5A 00 00 02 00 00 5A
0,64,0:03.381.472,490.700 us,9 B,,Transaction,01FF 40F3 005A 0800 0200 0002 0000 0000 005A
1,65,0:03.381.472,490.700 us,9 B,,   MOSI,01 40 00 08 02 00 00 00 00
1,66,0:03.381.472,490.700 us,9 B,,   MISO,FF F3 5A 00 00 02 00 00 5A
0,67,0:03.400.098,490.400 us,9 B,,Transaction,01FF 40F3 005A 0900 0200 0002 0000 0000 005A
1,68,0:03.400.098,490.400 us,9 B,,   MOSI,01 40 00 09 02 00 00 00 00
1,69,0:03.400.098,490.400 us,9 B,,   MISO,FF F3 5A 00 00 02 00 00 5A
0,70,0:03.415.321,490.600 us,9 B,,Transaction,01FF 40F3 005A 0A00 0200 0002 0000 0000 005A
1,71,0:03.415.321,490.600 us,9 B,,   MOSI,01 40 00 0A 02 00 00 00 00
1,72,0:03.415.321,490.600 us,9 B,,   MISO,FF F3 5A 00 00 02 00 00 5A
0,73,0:03.431.084,488.900 us,9 B,,Transaction,01FF 40F3 005A 0B00 0200 0002 0000 0000 005A
1,74,0:03.431.084,488.900 us,9 B,,   MOSI,01 40 00 0B 02 00 00 00 00
1,75,0:03.431.084,488.900 us,9 B,,   MISO,FF F3 5A 00 00 02 00 00 5A
0,76,0:03.448.174,488.900 us,9 B,,Transaction,01FF 41F3 005A 00FF 00FF 0003 0000 0000 005A
1,77,0:03.448.174,488.900 us,9 B,,   MOSI,01 41 00 00 00 00 00 00 00
1,78,0:03.448.174,488.900 us,9 B,,   MISO,FF F3 5A FF FF 03 00 00 5A
0,79,0:03.464.691,490.000 us,9 B,,Transaction,01FF 43F3 005A 0000 0000 0000 0000 0000 0000
1,80,0:03.464.691,490.000 us,9 B,,   MOSI,01 43 00 00 00 00 00 00 00
1,81,0:03.464.691,490.000 us,9 B,,   MISO,FF F3 5A 00 00 00 00 00 00
0,82,0:03.481.525,276.100 us,5 B,,Transaction,01FF 4279 005A 00FF 00FF
1,83,0:03.481.525,276.100 us,5 B,,   MOSI,01 42 00 00 00
1,84,0:03.481.525,276.100 us,5 B,,   MISO,FF 79 5A FF FF
0,85,0:03.498.387,713.300 us,21 B,,Transaction,01FF 4279 005A 00FF 00FF 0080 0080 0080 0080 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
1,86,0:03.498.387,713.300 us,21 B,,   MOSI,01 42 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,87,0:03.498.387,713.300 us,21 B,,   MISO,FF 79 5A FF FF 80 80 80 80 00 00 00 00 00 00 00 00 00 00 00 00
0,88,0:03.515.402,713.700 us,21 B,,Transaction,01FF 4279 005A 00FF 00FF 0080 0080 0080 0080 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
1,89,0:03.515.402,713.700 us,21 B,,   MOSI,01 42 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,90,0:03.515.402,713.700 us,21 B,,   MISO,FF 79 5A FF FF 80 80 80 80 00 00 00 00 00 00 00 00 00 00 00 00
0,91,0:03.531.562,712.000 us,21 B,,Transaction,01FF 4279 005A 00FF 00FF 0080 0080 0080 0080 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
1,92,0:03.531.562,712.000 us,21 B,,   MOSI,01 42 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,93,0:03.531.562,712.000 us,21 B,,   MISO,FF 79 5A FF FF 80 80 80 80 00 00 00 00 00 00 00 00 00 00 00 00
0,94,0:03.548.302,711.900 us,21 B,,Transaction,01FF 4279 005A 00FF 00FF 0080 0080 0080 0080 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
1,95,0:03.548.302,711.900 us,21 B,,   MOSI,01 42 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,96,0:03.548.302,711.900 us,21 B,,   MISO,FF 79 5A FF FF 80 80 80 80 00 00 00 00 00 00 00 00 00 00 00 00
0,97,0:03.564.764,712.600 us,21 B,,Transaction,01FF 4279 005A 00FF 00FF 0080 0080 0080 0080 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
1,98,0:03.564.764,712.600 us,21 B,,   MOSI,01 42 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,99,0:03.564.764,712.600 us,21 B,,   MISO,FF 79 5A FF FF 80 80 80 80 00 00 00 00 00 00 00 00 00 00 00 00
0,100,0:03.581.785,712.300 us,21 B,,Transaction,01FF 4279 005A 00FF 00FF 0080 0080 0080 0080 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
1,101,0:03.581.785,712.300 us,21 B,,   MOSI,01 42 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,102,0:03.581.785,712.300 us,21 B,,   MISO,FF 79 5A FF FF 80 80 80 80 00 00 00 00 00 00 00 00 00 00 00 00
0,103,0:03.598.191,712.700 us,21 B,,Transaction,01FF 4279 005A 00FF 00FF 0080 0080 0080 0080 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
1,104,0:03.598.191,712.700 us,21 B,,   MOSI,01 42 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,105,0:03.598.191,712.700 us,21 B,,   MISO,FF 79 5A FF FF 80 80 80 80 00 00 00 00 00 00 00 00 00 00 00 00
0,106,0:03.615.098,712.200 us,21 B,,Transaction,01FF 4279 005A 00FF 00FF 0080 0080 0080 0080 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
1,107,0:03.615.098,712.200 us,21 B,,   MOSI,01 42 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,108,0:03.615.098,712.200 us,21 B,,   MISO,FF 79 5A FF FF 80 80 80 80 00 00 00 00 00 00 00 00 00 00 00 00
0,109,0:03.631.675,712.400 us,21 B,,Transaction,01FF 4279 005A 00FF 00FF 0080 0080 0080 0080 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
1,110,0:03.631.675,712.400 us,21 B,,   MOSI,01 42 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,111,0:03.631.675,712.400 us,21 B,,   MISO,FF 79 5A FF FF 80 80 80 80 00 00 00 00 00 00 00 00 00 00 00 00
0,112,0:03.648.458,712.200 us,21 B,,Transaction,01FF 4279 005A 00FF 00FF 0080 0080 0080 0080 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
