# Total Phase Data Center(tm) v5.00
# (c) 2005-2010 Total Phase, Inc.
# www.totalphase.com
#
# 
#
# Level,Index,m:s.ms.us,Dur,Len,Err,Record,Data
0,0,0:00.000.000,,,,Capture started,[12/13/10 22:59:13]
0,1,0:00.000.102,314.470.400 ms,0 B,TM,Transaction,
1,2,0:00.000.102,314.470.400 ms,0 B,TM,   MOSI,
1,3,0:00.000.102,314.470.400 ms,0 B,TM,   MISO,
0,4,0:03.740.977,2.480.100 ms,0 B,,Transaction,
1,5,0:03.740.977,2.480.100 ms,0 B,,   MOSI,
1,6,0:03.740.977,2.480.100 ms,0 B,,   MISO,
0,7,0:03.743.457,4.192.300 ms,0 B,,Transaction,
1,8,0:03.743.457,4.192.300 ms,0 B,,   MOSI,
1,9,0:03.743.457,4.192.300 ms,0 B,,   MISO,
0,10,0:03.747.650,2.003.500 ms,0 B,,Transaction,
1,11,0:03.747.650,2.003.500 ms,0 B,,   MOSI,
1,12,0:03.747.650,2.003.500 ms,0 B,,   MISO,
0,13,0:03.749.653,258.100 us,0 B,,Transaction,
1,14,0:03.749.653,258.100 us,0 B,,   MOSI,
1,15,0:03.749.653,258.100 us,0 B,,   MISO,
0,16,0:03.749.912,81.900 us,0 B,,Transaction,
1,17,0:03.749.912,81.900 us,0 B,,   MOSI,
1,18,0:03.749.912,81.900 us,0 B,,   MISO,
0,19,0:03.749.994,113.300 us,0 B,,Transaction,
1,20,0:03.749.994,113.300 us,0 B,,   MOSI,
1,21,0:03.749.994,113.300 us,0 B,,   MISO,
0,22,0:03.750.107,789.000 us,0 B,,Transaction,
1,23,0:03.750.107,789.000 us,0 B,,   MOSI,
1,24,0:03.750.107,789.000 us,0 B,,   MISO,
0,25,0:03.750.896,295.300 us,0 B,,Transaction,
1,26,0:03.750.896,295.300 us,0 B,,   MOSI,
1,27,0:03.750.896,295.300 us,0 B,,   MISO,
0,28,0:03.751.191,19.200 us,0 B,,Transaction,
1,29,0:03.751.191,19.200 us,0 B,,   MOSI,
1,30,0:03.751.191,19.200 us,0 B,,   MISO,
0,31,0:03.751.211,131.700 us,0 B,,Transaction,
1,32,0:03.751.211,131.700 us,0 B,,   MOSI,
1,33,0:03.751.211,131.700 us,0 B,,   MISO,
0,34,0:03.751.343,50.900 us,0 B,,Transaction,
1,35,0:03.751.343,50.900 us,0 B,,   MOSI,
1,36,0:03.751.343,50.900 us,0 B,,   MISO,
0,37,0:03.751.394,149.300 us,0 B,,Transaction,
1,38,0:03.751.394,149.300 us,0 B,,   MOSI,
1,39,0:03.751.394,149.300 us,0 B,,   MISO,
0,40,0:03.751.543,111.300 us,0 B,,Transaction,
1,41,0:03.751.543,111.300 us,0 B,,   MOSI,
1,42,0:03.751.543,111.300 us,0 B,,   MISO,
0,43,0:03.751.654,554.200 us,0 B,,Transaction,
1,44,0:03.751.654,554.200 us,0 B,,   MOSI,
1,45,0:03.751.654,554.200 us,0 B,,   MISO,
0,46,0:03.752.209,22.500 us,0 B,,Transaction,
1,47,0:03.752.209,22.500 us,0 B,,   MOSI,
1,48,0:03.752.209,22.500 us,0 B,,   MISO,
0,49,0:03.752.231,266.200 us,0 B,,Transaction,
1,50,0:03.752.231,266.200 us,0 B,,   MOSI,
1,51,0:03.752.231,266.200 us,0 B,,   MISO,
0,52,0:03.752.498,3.300 us,0 B,,Transaction,
1,53,0:03.752.498,3.300 us,0 B,,   MOSI,
1,54,0:03.752.498,3.300 us,0 B,,   MISO,
0,55,0:03.752.501,160.900 us,0 B,,Transaction,
1,56,0:03.752.501,160.900 us,0 B,,   MOSI,
1,57,0:03.752.501,160.900 us,0 B,,   MISO,
0,58,0:03.752.662,266.300 us,0 B,,Transaction,
1,59,0:03.752.662,266.300 us,0 B,,   MOSI,
1,60,0:03.752.662,266.300 us,0 B,,   MISO,
0,61,0:03.752.928,5.100 us,0 B,,Transaction,
1,62,0:03.752.928,5.100 us,0 B,,   MOSI,
1,63,0:03.752.928,5.100 us,0 B,,   MISO,
0,64,0:03.752.934,129.900 us,0 B,,Transaction,
1,65,0:03.752.934,129.900 us,0 B,,   MOSI,
1,66,0:03.752.934,129.900 us,0 B,,   MISO,
0,67,0:03.753.064,99.700 us,0 B,,Transaction,
1,68,0:03.753.064,99.700 us,0 B,,   MOSI,
1,69,0:03.753.064,99.700 us,0 B,,   MISO,
0,70,0:03.753.163,68.400 us,0 B,,Transaction,
1,71,0:03.753.163,68.400 us,0 B,,   MOSI,
1,72,0:03.753.163,68.400 us,0 B,,   MISO,
0,73,0:03.753.232,4.900 us,0 B,,Transaction,
1,74,0:03.753.232,4.900 us,0 B,,   MOSI,
1,75,0:03.753.232,4.900 us,0 B,,   MISO,
0,76,0:03.753.237,25.300 us,0 B,,Transaction,
1,77,0:03.753.237,25.300 us,0 B,,   MOSI,
1,78,0:03.753.237,25.300 us,0 B,,   MISO,
0,79,0:03.753.262,38.100 us,0 B,,Transaction,
1,80,0:03.753.262,38.100 us,0 B,,   MOSI,
1,81,0:03.753.262,38.100 us,0 B,,   MISO,
0,82,0:03.753.301,106.200 us,0 B,,Transaction,
1,83,0:03.753.301,106.200 us,0 B,,   MOSI,
1,84,0:03.753.301,106.200 us,0 B,,   MISO,
0,85,0:03.753.407,22.700 us,0 B,,Transaction,
1,86,0:03.753.407,22.700 us,0 B,,   MOSI,
1,87,0:03.753.407,22.700 us,0 B,,   MISO,
0,88,0:03.753.430,70.700 us,0 B,,Transaction,
1,89,0:03.753.430,70.700 us,0 B,,   MOSI,
1,90,0:03.753.430,70.700 us,0 B,,   MISO,
0,91,0:03.753.500,3.900 us,0 B,,Transaction,
1,92,0:03.753.500,3.900 us,0 B,,   MOSI,
1,93,0:03.753.500,3.900 us,0 B,,   MISO,
0,94,0:03.753.504,15.700 us,0 B,,Transaction,
1,95,0:03.753.504,15.700 us,0 B,,   MOSI,
1,96,0:03.753.504,15.700 us,0 B,,   MISO,
0,97,0:03.753.520,43.500 us,0 B,,Transaction,
1,98,0:03.753.520,43.500 us,0 B,,   MOSI,
1,99,0:03.753.520,43.500 us,0 B,,   MISO,
0,100,0:03.753.564,1.400 us,0 B,,Transaction,
1,101,0:03.753.564,1.400 us,0 B,,   MOSI,
1,102,0:03.753.564,1.400 us,0 B,,   MISO,
0,103,0:03.753.566,200 ns,0 B,,Transaction,
1,104,0:03.753.566,200 ns,0 B,,   MOSI,
1,105,0:03.753.566,200 ns,0 B,,   MISO,
0,106,0:03.753.566,2.400 us,0 B,,Transaction,
1,107,0:03.753.566,2.400 us,0 B,,   MOSI,
1,108,0:03.753.566,2.400 us,0 B,,   MISO,
0,109,0:03.753.569,700 ns,0 B,,Transaction,
1,110,0:03.753.569,700 ns,0 B,,   MOSI,
1,111,0:03.753.569,700 ns,0 B,,   MISO,
0,112,0:03.753.569,1.000 us,0 B,,Transaction,
1,113,0:03.753.569,1.000 us,0 B,,   MOSI,
1,114,0:03.753.569,1.000 us,0 B,,   MISO,
0,115,0:03.753.571,12.800 us,0 B,,Transaction,
1,116,0:03.753.571,12.800 us,0 B,,   MOSI,
1,117,0:03.753.571,12.800 us,0 B,,   MISO,
0,118,0:03.753.584,21.500 us,0 B,,Transaction,
1,119,0:03.753.584,21.500 us,0 B,,   MOSI,
1,120,0:03.753.584,21.500 us,0 B,,   MISO,
0,121,0:03.753.605,9.300 us,0 B,,Transaction,
1,122,0:03.753.605,9.300 us,0 B,,   MOSI,
1,123,0:03.753.605,9.300 us,0 B,,   MISO,
0,124,0:03.753.615,5.900 us,0 B,,Transaction,
1,125,0:03.753.615,5.900 us,0 B,,   MOSI,
1,126,0:03.753.615,5.900 us,0 B,,   MISO,
0,127,0:03.753.621,14.900 us,0 B,,Transaction,
1,128,0:03.753.621,14.900 us,0 B,,   MOSI,
1,129,0:03.753.621,14.900 us,0 B,,   MISO,
0,130,0:03.753.636,500 ns,0 B,,Transaction,
1,131,0:03.753.636,500 ns,0 B,,   MOSI,
1,132,0:03.753.636,500 ns,0 B,,   MISO,
0,133,0:03.753.636,1.300 us,0 B,,Transaction,
1,134,0:03.753.636,1.300 us,0 B,,   MOSI,
1,135,0:03.753.636,1.300 us,0 B,,   MISO,
0,136,0:03.753.638,5.300 us,0 B,,Transaction,
1,137,0:03.753.638,5.300 us,0 B,,   MOSI,
1,138,0:03.753.638,5.300 us,0 B,,   MISO,
0,139,0:03.753.643,300 ns,0 B,,Transaction,
1,140,0:03.753.643,300 ns,0 B,,   MOSI,
1,141,0:03.753.643,300 ns,0 B,,   MISO,
0,142,0:03.753.644,2.500 us,0 B,,Transaction,
1,143,0:03.753.644,2.500 us,0 B,,   MOSI,
1,144,0:03.753.644,2.500 us,0 B,,   MISO,
0,145,0:03.753.646,1.200 us,0 B,,Transaction,
1,146,0:03.753.646,1.200 us,0 B,,   MOSI,
1,147,0:03.753.646,1.200 us,0 B,,   MISO,
0,148,0:03.753.648,200 ns,0 B,,Transaction,
1,149,0:03.753.648,200 ns,0 B,,   MOSI,
1,150,0:03.753.648,200 ns,0 B,,   MISO,
0,151,0:03.753.648,100 ns,0 B,,Transaction,
1,152,0:03.753.648,100 ns,0 B,,   MOSI,
1,153,0:03.753.648,100 ns,0 B,,   MISO,
0,154,0:03.753.649,1.300 us,0 B,,Transaction,
1,155,0:03.753.649,1.300 us,0 B,,   MOSI,
1,156,0:03.753.649,1.300 us,0 B,,   MISO,
0,157,0:03.753.650,1.900 us,0 B,,Transaction,
1,158,0:03.753.650,1.900 us,0 B,,   MOSI,
1,159,0:03.753.650,1.900 us,0 B,,   MISO,
0,160,0:03.753.652,3.500 us,0 B,,Transaction,
1,161,0:03.753.652,3.500 us,0 B,,   MOSI,
1,162,0:03.753.652,3.500 us,0 B,,   MISO,
0,163,0:03.753.656,500 ns,0 B,,Transaction,
1,164,0:03.753.656,500 ns,0 B,,   MOSI,
1,165,0:03.753.656,500 ns,0 B,,   MISO,
0,166,0:03.753.657,300 ns,0 B,,Transaction,
1,167,0:03.753.657,300 ns,0 B,,   MOSI,
1,168,0:03.753.657,300 ns,0 B,,   MISO,
0,169,0:03.753.657,300 ns,0 B,,Transaction,
1,170,0:03.753.657,300 ns,0 B,,   MOSI,
1,171,0:03.753.657,300 ns,0 B,,   MISO,
0,172,0:03.753.658,2.900 us,0 B,,Transaction,
1,173,0:03.753.658,2.900 us,0 B,,   MOSI,
1,174,0:03.753.658,2.900 us,0 B,,   MISO,
0,175,0:03.753.661,1.500 us,0 B,,Transaction,
1,176,0:03.753.661,1.500 us,0 B,,   MOSI,
1,177,0:03.753.661,1.500 us,0 B,,   MISO,
0,178,0:03.753.662,2.100 us,0 B,,Transaction,
1,179,0:03.753.662,2.100 us,0 B,,   MOSI,
1,180,0:03.753.662,2.100 us,0 B,,   MISO,
0,181,0:03.753.665,100 ns,0 B,,Transaction,
1,182,0:03.753.665,100 ns,0 B,,   MOSI,
1,183,0:03.753.665,100 ns,0 B,,   MISO,
0,184,0:03.753.665,3.600 us,0 B,,Transaction,
1,185,0:03.753.665,3.600 us,0 B,,   MOSI,
1,186,0:03.753.665,3.600 us,0 B,,   MISO,
0,187,0:03.753.669,200 ns,0 B,,Transaction,
1,188,0:03.753.669,200 ns,0 B,,   MOSI,
1,189,0:03.753.669,200 ns,0 B,,   MISO,
0,190,0:03.753.670,200 ns,0 B,,Transaction,
1,191,0:03.753.670,200 ns,0 B,,   MOSI,
1,192,0:03.753.670,200 ns,0 B,,   MISO,
0,193,0:03.753.670,300 ns,0 B,,Transaction,
1,194,0:03.753.670,300 ns,0 B,,   MOSI,
1,195,0:03.753.670,300 ns,0 B,,   MISO,
0,196,0:03.753.671,200 ns,0 B,,Transaction,
1,197,0:03.753.671,200 ns,0 B,,   MOSI,
1,198,0:03.753.671,200 ns,0 B,,   MISO,
0,199,0:03.753.671,100 ns,0 B,,Transaction,
1,200,0:03.753.671,100 ns,0 B,,   MOSI,
1,201,0:03.753.671,100 ns,0 B,,   MISO,
0,202,0:03.753.672,1.700 us,0 B,,Transaction,
1,203,0:03.753.672,1.700 us,0 B,,   MOSI,
1,204,0:03.753.672,1.700 us,0 B,,   MISO,
0,205,0:03.753.674,100 ns,0 B,,Transaction,
1,206,0:03.753.674,100 ns,0 B,,   MOSI,
1,207,0:03.753.674,100 ns,0 B,,   MISO,
0,208,0:03.753.677,100 ns,0 B,,Transaction,
1,209,0:03.753.677,100 ns,0 B,,   MOSI,
1,210,0:03.753.677,100 ns,0 B,,   MISO,
0,211,0:03.753.679,200 ns,0 B,,Transaction,
1,212,0:03.753.679,200 ns,0 B,,   MOSI,
1,213,0:03.753.679,200 ns,0 B,,   MISO,
0,214,0:03.753.680,100 ns,0 B,,Transaction,
1,215,0:03.753.680,100 ns,0 B,,   MOSI,
1,216,0:03.753.680,100 ns,0 B,,   MISO,
0,217,0:03.753.681,300 ns,0 B,,Transaction,
1,218,0:03.753.681,300 ns,0 B,,   MOSI,
1,219,0:03.753.681,300 ns,0 B,,   MISO,
