# Total Phase Data Center(tm) v5.00
# (c) 2005-2010 Total Phase, Inc.
# www.totalphase.com
#
# 
#
# Level,Index,m:s.ms.us,Dur,Len,Err,Record,Data
0,0,0:00.000.000,,,,Capture started,[12/13/10 23:18:43]
0,1,0:00.000.102,314.470.400 ms,0 B,TM,Transaction,
1,2,0:00.000.102,314.470.400 ms,0 B,TM,   MOSI,
1,3,0:00.000.102,314.470.400 ms,0 B,TM,   MISO,
0,4,0:07.470.601,566.500 us,5 B,,Transaction,01FF 4341 005A 01FF 00FF
1,5,0:07.470.601,566.500 us,5 B,,   MOSI,01 43 00 01 00
1,6,0:07.470.601,566.500 us,5 B,,   MISO,FF 41 5A FF FF
0,7,0:07.486.604,1.449.500 ms,9 B,,Transaction,01FF 45F3 005A 5A03 5A02 5A00 5A02 5A01 5A00
1,8,0:07.486.604,1.449.500 ms,9 B,,   MOSI,01 45 00 5A 5A 5A 5A 5A 5A
1,9,0:07.486.604,1.449.500 ms,9 B,,   MISO,FF F3 5A 03 02 00 02 01 00
0,10,0:07.502.608,1.448.200 ms,9 B,,Transaction,01FF 4DF3 005A 00FF 01FF FFFF FFFF FFFF FFFF
1,11,0:07.502.608,1.448.200 ms,9 B,,   MOSI,01 4D 00 00 01 FF FF FF FF
1,12,0:07.502.608,1.448.200 ms,9 B,,   MISO,FF F3 5A FF FF FF FF FF FF
0,13,0:07.518.619,1.450.000 ms,9 B,,Transaction,01FF 43F3 005A 0000 5A00 5A00 5A00 5A00 5A00
1,14,0:07.518.619,1.450.000 ms,9 B,,   MOSI,01 43 00 00 5A 5A 5A 5A 5A
1,15,0:07.518.619,1.450.000 ms,9 B,,   MISO,FF F3 5A 00 00 00 00 00 00
0,16,0:07.534.623,567.700 us,5 B,,Transaction,01FF 4341 005A 01FF 00FF
1,17,0:07.534.623,567.700 us,5 B,,   MOSI,01 43 00 01 00
1,18,0:07.534.623,567.700 us,5 B,,   MISO,FF 41 5A FF FF
0,19,0:07.550.627,1.452.300 ms,9 B,,Transaction,01FF 44F3 005A 0100 0200 0000 0000 0000 0000
1,20,0:07.550.627,1.452.300 ms,9 B,,   MOSI,01 44 00 01 02 00 00 00 00
1,21,0:07.550.627,1.452.300 ms,9 B,,   MISO,FF F3 5A 00 00 00 00 00 00
0,22,0:07.566.634,1.450.000 ms,9 B,,Transaction,01FF 43F3 005A 0000 5A00 5A00 5A00 5A00 5A00
1,23,0:07.566.634,1.450.000 ms,9 B,,   MOSI,01 43 00 00 5A 5A 5A 5A 5A
1,24,0:07.566.634,1.450.000 ms,9 B,,   MISO,FF F3 5A 00 00 00 00 00 00
0,25,0:07.582.639,907.600 us,9 B,,Transaction,01FF 4373 005A 01FF 00FF 0080 0080 0080 0080
1,26,0:07.582.639,907.600 us,9 B,,   MOSI,01 43 00 01 00 00 00 00 00
1,27,0:07.582.639,907.600 us,9 B,,   MISO,FF 73 5A FF FF 80 80 80 80
0,28,0:07.598.644,1.448.300 ms,9 B,,Transaction,01FF 4DF3 005A 00FF 01FF FFFF FFFF FFFF FFFF
1,29,0:07.598.644,1.448.300 ms,9 B,,   MOSI,01 4D 00 00 01 FF FF FF FF
1,30,0:07.598.644,1.448.300 ms,9 B,,   MISO,FF F3 5A FF FF FF FF FF FF
0,31,0:07.614.647,1.450.000 ms,9 B,,Transaction,01FF 43F3 005A 0000 5A00 5A00 5A00 5A00 5A00
1,32,0:07.614.647,1.450.000 ms,9 B,,   MOSI,01 43 00 00 5A 5A 5A 5A 5A
1,33,0:07.614.647,1.450.000 ms,9 B,,   MISO,FF F3 5A 00 00 00 00 00 00
0,34,0:07.630.660,907.100 us,9 B,,Transaction,01FF 4373 005A 01FF 00FF 0080 0080 0080 0080
1,35,0:07.630.660,907.100 us,9 B,,   MOSI,01 43 00 01 00 00 00 00 00
1,36,0:07.630.660,907.100 us,9 B,,   MISO,FF 73 5A FF FF 80 80 80 80
0,37,0:07.646.665,1.450.000 ms,9 B,,Transaction,01FF 4FF3 005A FF00 FF00 0300 0000 0000 005A
1,38,0:07.646.665,1.450.000 ms,9 B,,   MOSI,01 4F 00 FF FF 03 00 00 00
1,39,0:07.646.665,1.450.000 ms,9 B,,   MISO,FF F3 5A 00 00 00 00 00 5A
0,40,0:07.662.669,1.443.600 ms,9 B,,Transaction,01FF 40F3 005A 0000 0200 0002 0000 0000 005A
1,41,0:07.662.669,1.443.600 ms,9 B,,   MOSI,01 40 00 00 02 00 00 00 00
1,42,0:07.662.669,1.443.600 ms,9 B,,   MISO,FF F3 5A 00 00 02 00 00 5A
0,43,0:07.678.675,1.442.700 ms,9 B,,Transaction,01FF 40F3 005A FF00 0200 00FF 0000 0000 00FF
1,44,0:07.678.675,1.442.700 ms,9 B,,   MOSI,01 40 00 FF 02 00 00 00 00
1,45,0:07.678.675,1.442.700 ms,9 B,,   MISO,FF F3 5A 00 00 FF 00 00 FF
0,46,0:07.694.681,1.442.700 ms,9 B,,Transaction,01FF 40F3 005A FE00 0200 00FF 0000 0000 00FF
1,47,0:07.694.681,1.442.700 ms,9 B,,   MOSI,01 40 00 FE 02 00 00 00 00
1,48,0:07.694.681,1.442.700 ms,9 B,,   MISO,FF F3 5A 00 00 FF 00 00 FF
0,49,0:07.710.686,1.442.700 ms,9 B,,Transaction,01FF 40F3 005A FD00 0200 00FF 0000 0000 00FF
1,50,0:07.710.686,1.442.700 ms,9 B,,   MOSI,01 40 00 FD 02 00 00 00 00
1,51,0:07.710.686,1.442.700 ms,9 B,,   MISO,FF F3 5A 00 00 FF 00 00 FF
0,52,0:07.726.691,1.442.900 ms,9 B,,Transaction,01FF 40F3 005A FC00 0200 00FF 0000 0000 00FF
1,53,0:07.726.691,1.442.900 ms,9 B,,   MOSI,01 40 00 FC 02 00 00 00 00
1,54,0:07.726.691,1.442.900 ms,9 B,,   MISO,FF F3 5A 00 00 FF 00 00 FF
0,55,0:07.742.696,1.442.800 ms,9 B,,Transaction,01FF 40F3 005A FB00 0200 00FF 0000 0000 00FF
1,56,0:07.742.696,1.442.800 ms,9 B,,   MOSI,01 40 00 FB 02 00 00 00 00
1,57,0:07.742.696,1.442.800 ms,9 B,,   MISO,FF F3 5A 00 00 FF 00 00 FF
0,58,0:07.758.703,1.442.800 ms,9 B,,Transaction,01FF 40F3 005A FA00 0200 00FF 0000 0000 00FF
1,59,0:07.758.703,1.442.800 ms,9 B,,   MOSI,01 40 00 FA 02 00 00 00 00
1,60,0:07.758.703,1.442.800 ms,9 B,,   MISO,FF F3 5A 00 00 FF 00 00 FF
0,61,0:07.774.711,1.442.800 ms,9 B,,Transaction,01FF 40F3 005A F900 0200 00FF 0000 0000 00FF
1,62,0:07.774.711,1.442.800 ms,9 B,,   MOSI,01 40 00 F9 02 00 00 00 00
1,63,0:07.774.711,1.442.800 ms,9 B,,   MISO,FF F3 5A 00 00 FF 00 00 FF
0,64,0:07.790.716,1.443.000 ms,9 B,,Transaction,01FF 40F3 005A F800 0200 00FF 0000 0000 00FF
1,65,0:07.790.716,1.443.000 ms,9 B,,   MOSI,01 40 00 F8 02 00 00 00 00
1,66,0:07.790.716,1.443.000 ms,9 B,,   MISO,FF F3 5A 00 00 FF 00 00 FF
0,67,0:07.806.721,1.442.700 ms,9 B,,Transaction,01FF 40F3 005A F700 0200 00FF 0000 0000 00FF
1,68,0:07.806.721,1.442.700 ms,9 B,,   MOSI,01 40 00 F7 02 00 00 00 00
1,69,0:07.806.721,1.442.700 ms,9 B,,   MISO,FF F3 5A 00 00 FF 00 00 FF
0,70,0:07.822.726,1.442.900 ms,9 B,,Transaction,01FF 40F3 005A F600 0200 00FF 0000 0000 00FF
1,71,0:07.822.726,1.442.900 ms,9 B,,   MOSI,01 40 00 F6 02 00 00 00 00
1,72,0:07.822.726,1.442.900 ms,9 B,,   MISO,FF F3 5A 00 00 FF 00 00 FF
0,73,0:07.838.732,1.442.900 ms,9 B,,Transaction,01FF 40F3 005A F500 0200 00FF 0000 0000 00FF
1,74,0:07.838.732,1.442.900 ms,9 B,,   MOSI,01 40 00 F5 02 00 00 00 00
1,75,0:07.838.732,1.442.900 ms,9 B,,   MISO,FF F3 5A 00 00 FF 00 00 FF
0,76,0:07.854.737,1.450.000 ms,9 B,,Transaction,01FF 43F3 005A 0000 5A00 5A00 5A00 5A00 5A00
1,77,0:07.854.737,1.450.000 ms,9 B,,   MOSI,01 43 00 00 5A 5A 5A 5A 5A
1,78,0:07.854.737,1.450.000 ms,9 B,,   MISO,FF F3 5A 00 00 00 00 00 00
0,79,0:07.870.741,1.939.300 ms,21 B,,Transaction,01FF 4379 005A 01FF 00FF 0080 0080 0080 0080 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
1,80,0:07.870.741,1.939.300 ms,21 B,,   MOSI,01 43 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,81,0:07.870.741,1.939.300 ms,21 B,,   MISO,FF 79 5A FF FF 80 80 80 80 00 00 00 00 00 00 00 00 00 00 00 00
0,82,0:07.887.747,1.448.200 ms,9 B,,Transaction,01FF 4DF3 005A 0000 0101 FFFF FFFF FFFF FFFF
1,83,0:07.887.747,1.448.200 ms,9 B,,   MOSI,01 4D 00 00 01 FF FF FF FF
1,84,0:07.887.747,1.448.200 ms,9 B,,   MISO,FF F3 5A 00 01 FF FF FF FF
0,85,0:07.903.758,1.422.200 ms,9 B,,Transaction,01FF 43F3 005A 0000 5A00 5A00 5A00 5A00 5A00
1,86,0:07.903.758,1.422.200 ms,9 B,,   MOSI,01 43 00 00 5A 5A 5A 5A 5A
1,87,0:07.903.758,1.422.200 ms,9 B,,   MISO,FF F3 5A 00 00 00 00 00 00
0,88,0:07.919.758,2.053.200 ms,21 B,,Transaction,01FF 4279 005A 00FF 00FF 0080 0080 0080 0080 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
1,89,0:07.919.758,2.053.200 ms,21 B,,   MOSI,01 42 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,90,0:07.919.758,2.053.200 ms,21 B,,   MISO,FF 79 5A FF FF 80 80 80 80 00 00 00 00 00 00 00 00 00 00 00 00
0,91,0:07.936.768,2.052.800 ms,21 B,,Transaction,01FF 4279 005A 00FF 00FF 0080 0080 0080 0080 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
1,92,0:07.936.768,2.052.800 ms,21 B,,   MOSI,01 42 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,93,0:07.936.768,2.052.800 ms,21 B,,   MISO,FF 79 5A FF FF 80 80 80 80 00 00 00 00 00 00 00 00 00 00 00 00
0,94,0:07.953.777,2.053.600 ms,21 B,,Transaction,01FF 4279 005A 00FF 00FF 0080 0080 0080 0080 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
1,95,0:07.953.777,2.053.600 ms,21 B,,   MOSI,01 42 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,96,0:07.953.777,2.053.600 ms,21 B,,   MISO,FF 79 5A FF FF 80 80 80 80 00 00 00 00 00 00 00 00 00 00 00 00
0,97,0:07.970.779,2.052.800 ms,21 B,,Transaction,01FF 4279 005A 00FF 00FF 0080 0080 0080 0080 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
1,98,0:07.970.779,2.052.800 ms,21 B,,   MOSI,01 42 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,99,0:07.970.779,2.052.800 ms,21 B,,   MISO,FF 79 5A FF FF 80 80 80 80 00 00 00 00 00 00 00 00 00 00 00 00
0,100,0:07.987.788,2.054.000 ms,21 B,,Transaction,01FF 4279 005A 00FF 00FF 0080 0080 0080 0080 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
1,101,0:07.987.788,2.054.000 ms,21 B,,   MOSI,01 42 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,102,0:07.987.788,2.054.000 ms,21 B,,   MISO,FF 79 5A FF FF 80 80 80 80 00 00 00 00 00 00 00 00 00 00 00 00
0,103,0:08.004.790,2.053.500 ms,21 B,,Transaction,01FF 4279 005A 00FF 00FF 0080 0080 0080 0080 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
1,104,0:08.004.790,2.053.500 ms,21 B,,   MOSI,01 42 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,105,0:08.004.790,2.053.500 ms,21 B,,   MISO,FF 79 5A FF FF 80 80 80 80 00 00 00 00 00 00 00 00 00 00 00 00
0,106,0:08.021.800,2.054.400 ms,21 B,,Transaction,01FF 4279 005A 00FF 00FF 0080 0080 0080 0080 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
1,107,0:08.021.800,2.054.400 ms,21 B,,   MOSI,01 42 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
