# Total Phase Data Center(tm) v5.00
# (c) 2005-2010 Total Phase, Inc.
# www.totalphase.com
#
# 
#
# Level,Index,m:s.ms.us,Dur,Len,Err,Record,Data
0,0,0:00.000.000,,,,Capture started,[12/13/10 22:53:38]
0,1,0:00.000.102,314.470.400 ms,0 B,TM,Transaction,
1,2,0:00.000.102,314.470.400 ms,0 B,TM,   MOSI,
1,3,0:00.000.102,314.470.400 ms,0 B,TM,   MISO,
0,4,0:02.637.256,634.300 us,0 B,,Transaction,
1,5,0:02.637.256,634.300 us,0 B,,   MOSI,
1,6,0:02.637.256,634.300 us,0 B,,   MISO,
0,7,0:02.637.891,351.300 us,0 B,,Transaction,
1,8,0:02.637.891,351.300 us,0 B,,   MOSI,
1,9,0:02.637.891,351.300 us,0 B,,   MISO,
0,10,0:02.638.242,645.900 us,0 B,,Transaction,
1,11,0:02.638.242,645.900 us,0 B,,   MOSI,
1,12,0:02.638.242,645.900 us,0 B,,   MISO,
0,13,0:02.638.888,694.100 us,0 B,,Transaction,
1,14,0:02.638.888,694.100 us,0 B,,   MOSI,
1,15,0:02.638.888,694.100 us,0 B,,   MISO,
0,16,0:02.639.582,154.700 us,0 B,,Transaction,
1,17,0:02.639.582,154.700 us,0 B,,   MOSI,
1,18,0:02.639.582,154.700 us,0 B,,   MISO,
0,19,0:02.639.737,86.900 us,0 B,,Transaction,
1,20,0:02.639.737,86.900 us,0 B,,   MOSI,
1,21,0:02.639.737,86.900 us,0 B,,   MISO,
0,22,0:02.639.824,102.700 us,0 B,,Transaction,
1,23,0:02.639.824,102.700 us,0 B,,   MOSI,
1,24,0:02.639.824,102.700 us,0 B,,   MISO,
0,25,0:02.639.927,617.700 us,0 B,,Transaction,
1,26,0:02.639.927,617.700 us,0 B,,   MOSI,
1,27,0:02.639.927,617.700 us,0 B,,   MISO,
0,28,0:02.640.545,17.500 us,0 B,,Transaction,
1,29,0:02.640.545,17.500 us,0 B,,   MOSI,
1,30,0:02.640.545,17.500 us,0 B,,   MISO,
0,31,0:02.640.562,29.100 us,0 B,,Transaction,
1,32,0:02.640.562,29.100 us,0 B,,   MOSI,
1,33,0:02.640.562,29.100 us,0 B,,   MISO,
0,34,0:02.640.591,68.300 us,0 B,,Transaction,
1,35,0:02.640.591,68.300 us,0 B,,   MOSI,
1,36,0:02.640.591,68.300 us,0 B,,   MISO,
0,37,0:02.640.660,375.500 us,0 B,,Transaction,
1,38,0:02.640.660,375.500 us,0 B,,   MOSI,
1,39,0:02.640.660,375.500 us,0 B,,   MISO,
0,40,0:02.641.035,429.800 us,0 B,,Transaction,
1,41,0:02.641.035,429.800 us,0 B,,   MOSI,
1,42,0:02.641.035,429.800 us,0 B,,   MISO,
0,43,0:02.641.465,160.500 us,0 B,,Transaction,
1,44,0:02.641.465,160.500 us,0 B,,   MOSI,
1,45,0:02.641.465,160.500 us,0 B,,   MISO,
0,46,0:02.641.626,268.700 us,0 B,,Transaction,
1,47,0:02.641.626,268.700 us,0 B,,   MOSI,
1,48,0:02.641.626,268.700 us,0 B,,   MISO,
0,49,0:02.641.895,115.400 us,0 B,,Transaction,
1,50,0:02.641.895,115.400 us,0 B,,   MOSI,
1,51,0:02.641.895,115.400 us,0 B,,   MISO,
0,52,0:02.642.010,124.600 us,0 B,,Transaction,
1,53,0:02.642.010,124.600 us,0 B,,   MOSI,
1,54,0:02.642.010,124.600 us,0 B,,   MISO,
0,55,0:02.642.135,8.300 us,0 B,,Transaction,
1,56,0:02.642.135,8.300 us,0 B,,   MOSI,
1,57,0:02.642.135,8.300 us,0 B,,   MISO,
0,58,0:02.642.143,320.900 us,0 B,,Transaction,
1,59,0:02.642.143,320.900 us,0 B,,   MOSI,
1,60,0:02.642.143,320.900 us,0 B,,   MISO,
0,61,0:02.642.464,31.700 us,0 B,,Transaction,
1,62,0:02.642.464,31.700 us,0 B,,   MOSI,
1,63,0:02.642.464,31.700 us,0 B,,   MISO,
0,64,0:02.642.496,31.100 us,0 B,,Transaction,
1,65,0:02.642.496,31.100 us,0 B,,   MOSI,
1,66,0:02.642.496,31.100 us,0 B,,   MISO,
0,67,0:02.642.527,21.100 us,0 B,,Transaction,
1,68,0:02.642.527,21.100 us,0 B,,   MOSI,
1,69,0:02.642.527,21.100 us,0 B,,   MISO,
0,70,0:02.642.548,3.500 us,0 B,,Transaction,
1,71,0:02.642.548,3.500 us,0 B,,   MOSI,
1,72,0:02.642.548,3.500 us,0 B,,   MISO,
0,73,0:02.642.552,36.500 us,0 B,,Transaction,
1,74,0:02.642.552,36.500 us,0 B,,   MOSI,
1,75,0:02.642.552,36.500 us,0 B,,   MISO,
0,76,0:02.642.589,24.900 us,0 B,,Transaction,
1,77,0:02.642.589,24.900 us,0 B,,   MOSI,
1,78,0:02.642.589,24.900 us,0 B,,   MISO,
0,79,0:02.642.614,79.800 us,0 B,,Transaction,
1,80,0:02.642.614,79.800 us,0 B,,   MOSI,
1,81,0:02.642.614,79.800 us,0 B,,   MISO,
0,82,0:02.642.694,49.300 us,0 B,,Transaction,
1,83,0:02.642.694,49.300 us,0 B,,   MOSI,
1,84,0:02.642.694,49.300 us,0 B,,   MISO,
0,85,0:02.642.743,63.300 us,0 B,,Transaction,
1,86,0:02.642.743,63.300 us,0 B,,   MOSI,
1,87,0:02.642.743,63.300 us,0 B,,   MISO,
0,88,0:02.642.806,2.500 us,0 B,,Transaction,
1,89,0:02.642.806,2.500 us,0 B,,   MOSI,
1,90,0:02.642.806,2.500 us,0 B,,   MISO,
0,91,0:02.642.809,23.600 us,0 B,,Transaction,
1,92,0:02.642.809,23.600 us,0 B,,   MOSI,
1,93,0:02.642.809,23.600 us,0 B,,   MISO,
0,94,0:02.642.833,2.300 us,0 B,,Transaction,
1,95,0:02.642.833,2.300 us,0 B,,   MOSI,
1,96,0:02.642.833,2.300 us,0 B,,   MISO,
0,97,0:02.642.835,900 ns,0 B,,Transaction,
1,98,0:02.642.835,900 ns,0 B,,   MOSI,
1,99,0:02.642.835,900 ns,0 B,,   MISO,
0,100,0:02.642.836,24.300 us,0 B,,Transaction,
1,101,0:02.642.836,24.300 us,0 B,,   MOSI,
1,102,0:02.642.836,24.300 us,0 B,,   MISO,
0,103,0:02.642.860,127.900 us,0 B,,Transaction,
1,104,0:02.642.860,127.900 us,0 B,,   MOSI,
1,105,0:02.642.860,127.900 us,0 B,,   MISO,
0,106,0:02.642.988,15.500 us,0 B,,Transaction,
1,107,0:02.642.988,15.500 us,0 B,,   MOSI,
1,108,0:02.642.988,15.500 us,0 B,,   MISO,
0,109,0:02.643.004,300 ns,0 B,,Transaction,
1,110,0:02.643.004,300 ns,0 B,,   MOSI,
1,111,0:02.643.004,300 ns,0 B,,   MISO,
0,112,0:02.643.005,400 ns,0 B,,Transaction,
1,113,0:02.643.005,400 ns,0 B,,   MOSI,
1,114,0:02.643.005,400 ns,0 B,,   MISO,
0,115,0:02.643.005,300 ns,0 B,,Transaction,
1,116,0:02.643.005,300 ns,0 B,,   MOSI,
1,117,0:02.643.005,300 ns,0 B,,   MISO,
0,118,0:02.643.006,200 ns,0 B,,Transaction,
1,119,0:02.643.006,200 ns,0 B,,   MOSI,
1,120,0:02.643.006,200 ns,0 B,,   MISO,
0,121,0:02.643.006,200 ns,0 B,,Transaction,
1,122,0:02.643.006,200 ns,0 B,,   MOSI,
1,123,0:02.643.006,200 ns,0 B,,   MISO,
0,124,0:02.643.007,900 ns,0 B,,Transaction,
1,125,0:02.643.007,900 ns,0 B,,   MOSI,
1,126,0:02.643.007,900 ns,0 B,,   MISO,
0,127,0:02.643.008,400 ns,0 B,,Transaction,
1,128,0:02.643.008,400 ns,0 B,,   MOSI,
1,129,0:02.643.008,400 ns,0 B,,   MISO,
0,130,0:02.643.008,3.700 us,0 B,,Transaction,
1,131,0:02.643.008,3.700 us,0 B,,   MOSI,
1,132,0:02.643.008,3.700 us,0 B,,   MISO,
0,133,0:02.643.012,300 ns,0 B,,Transaction,
1,134,0:02.643.012,300 ns,0 B,,   MOSI,
1,135,0:02.643.012,300 ns,0 B,,   MISO,
0,136,0:02.643.013,400 ns,0 B,,Transaction,
1,137,0:02.643.013,400 ns,0 B,,   MOSI,
1,138,0:02.643.013,400 ns,0 B,,   MISO,
0,139,0:02.643.014,100 ns,0 B,,Transaction,
1,140,0:02.643.014,100 ns,0 B,,   MOSI,
1,141,0:02.643.014,100 ns,0 B,,   MISO,
0,142,0:02.643.014,500 ns,0 B,,Transaction,
1,143,0:02.643.014,500 ns,0 B,,   MOSI,
1,144,0:02.643.014,500 ns,0 B,,   MISO,
0,145,0:02.643.015,200 ns,0 B,,Transaction,
1,146,0:02.643.015,200 ns,0 B,,   MOSI,
1,147,0:02.643.015,200 ns,0 B,,   MISO,
0,148,0:02.643.015,8.800 us,0 B,,Transaction,
1,149,0:02.643.015,8.800 us,0 B,,   MOSI,
1,150,0:02.643.015,8.800 us,0 B,,   MISO,
0,151,0:02.643.024,1.300 us,0 B,,Transaction,
1,152,0:02.643.024,1.300 us,0 B,,   MOSI,
1,153,0:02.643.024,1.300 us,0 B,,   MISO,
0,154,0:02.643.026,200 ns,0 B,,Transaction,
1,155,0:02.643.026,200 ns,0 B,,   MOSI,
1,156,0:02.643.026,200 ns,0 B,,   MISO,
0,157,0:02.643.026,1.500 us,0 B,,Transaction,
1,158,0:02.643.026,1.500 us,0 B,,   MOSI,
1,159,0:02.643.026,1.500 us,0 B,,   MISO,
0,160,0:02.643.028,200 ns,0 B,,Transaction,
1,161,0:02.643.028,200 ns,0 B,,   MOSI,
1,162,0:02.643.028,200 ns,0 B,,   MISO,
0,163,0:02.643.029,500 ns,0 B,,Transaction,
1,164,0:02.643.029,500 ns,0 B,,   MOSI,
1,165,0:02.643.029,500 ns,0 B,,   MISO,
0,166,0:02.643.029,900 ns,0 B,,Transaction,
1,167,0:02.643.029,900 ns,0 B,,   MOSI,
1,168,0:02.643.029,900 ns,0 B,,   MISO,
0,169,0:02.643.030,400 ns,0 B,,Transaction,
1,170,0:02.643.030,400 ns,0 B,,   MOSI,
1,171,0:02.643.030,400 ns,0 B,,   MISO,
0,172,0:02.643.031,200 ns,0 B,,Transaction,
1,173,0:02.643.031,200 ns,0 B,,   MOSI,
1,174,0:02.643.031,200 ns,0 B,,   MISO,
0,175,0:02.643.031,2.800 us,0 B,,Transaction,
1,176,0:02.643.031,2.800 us,0 B,,   MOSI,
1,177,0:02.643.031,2.800 us,0 B,,   MISO,
0,178,0:02.643.035,9.800 us,0 B,,Transaction,
1,179,0:02.643.035,9.800 us,0 B,,   MOSI,
1,180,0:02.643.035,9.800 us,0 B,,   MISO,
0,181,0:02.643.045,200 ns,0 B,,Transaction,
1,182,0:02.643.045,200 ns,0 B,,   MOSI,
1,183,0:02.643.045,200 ns,0 B,,   MISO,
0,184,0:02.643.045,200 ns,0 B,,Transaction,
1,185,0:02.643.045,200 ns,0 B,,   MOSI,
1,186,0:02.643.045,200 ns,0 B,,   MISO,
0,187,0:02.643.045,700 ns,0 B,,Transaction,
1,188,0:02.643.045,700 ns,0 B,,   MOSI,
1,189,0:02.643.045,700 ns,0 B,,   MISO,
0,190,0:02.643.046,1.100 us,0 B,,Transaction,
1,191,0:02.643.046,1.100 us,0 B,,   MOSI,
1,192,0:02.643.046,1.100 us,0 B,,   MISO,
0,193,0:02.643.048,600 ns,0 B,,Transaction,
1,194,0:02.643.048,600 ns,0 B,,   MOSI,
1,195,0:02.643.048,600 ns,0 B,,   MISO,
0,196,0:02.643.048,100 ns,0 B,,Transaction,
1,197,0:02.643.048,100 ns,0 B,,   MOSI,
1,198,0:02.643.048,100 ns,0 B,,   MISO,
0,199,0:02.643.049,500 ns,0 B,,Transaction,
1,200,0:02.643.049,500 ns,0 B,,   MOSI,
1,201,0:02.643.049,500 ns,0 B,,   MISO,
0,202,0:02.643.049,300 ns,0 B,,Transaction,
1,203,0:02.643.049,300 ns,0 B,,   MOSI,
1,204,0:02.643.049,300 ns,0 B,,   MISO,
0,205,0:02.643.050,100 ns,0 B,,Transaction,
1,206,0:02.643.050,100 ns,0 B,,   MOSI,
1,207,0:02.643.050,100 ns,0 B,,   MISO,
0,208,0:02.643.050,100 ns,0 B,,Transaction,
1,209,0:02.643.050,100 ns,0 B,,   MOSI,
1,210,0:02.643.050,100 ns,0 B,,   MISO,
0,211,0:02.643.051,200 ns,0 B,,Transaction,
1,212,0:02.643.051,200 ns,0 B,,   MOSI,
1,213,0:02.643.051,200 ns,0 B,,   MISO,
0,214,0:02.643.051,500 ns,0 B,,Transaction,
1,215,0:02.643.051,500 ns,0 B,,   MOSI,
1,216,0:02.643.051,500 ns,0 B,,   MISO,
0,217,0:02.643.052,300 ns,0 B,,Transaction,
1,218,0:02.643.052,300 ns,0 B,,   MOSI,
1,219,0:02.643.052,300 ns,0 B,,   MISO,
0,220,0:02.643.052,100 ns,0 B,,Transaction,
1,221,0:02.643.052,100 ns,0 B,,   MOSI,
1,222,0:02.643.052,100 ns,0 B,,   MISO,
